id,name,created_at,updated_at
1,hokkaido,20190705,20190705
2,aomori,20190705,20190705
3,iwate,20190705,20190705
4,miyagi,20190705,20190705
5,akita,20190705,20190705
6,yamagata,20190705,20190705
7,fukushima,20190705,20190705
8,ibaraki,20190705,20190705
9,tochigi,20190705,20190705
10,gunma,20190705,20190705
11,saitama,20190705,20190705
12,chiba,20190705,20190705
13,tokyo,20190705,20190705
14,kanagawa,20190705,20190705
15,niigata,20190705,20190705
16,toyama,20190705,20190705
17,ishikawa,20190705,20190705
18,fukui,20190705,20190705
19,yamanashi,20190705,20190705
20,nagano,20190705,20190705
21,gifu,20190705,20190705
22,shizuoka,20190705,20190705
23,aichi,20190705,20190705
24,mie,20190705,20190705
25,shiga,20190705,20190705
26,kyoto,20190705,20190705
27,osaka,20190705,20190705
28,hyogo,20190705,20190705
29,nara,20190705,20190705
30,wakayama,20190705,20190705
31,tottori,20190705,20190705
32,shimane,20190705,20190705
33,okayama,20190705,20190705
34,hiroshima,20190705,20190705
35,yamaguchi,20190705,20190705
36,tokushima,20190705,20190705
37,kagawa,20190705,20190705
38,ehime,20190705,20190705
39,kochi,20190705,20190705
40,fukuoka,20190705,20190705
41,saga,20190705,20190705
42,nagasaki,20190705,20190705
43,kumamoto,20190705,20190705
44,oita,20190705,20190705
45,miyazaki,20190705,20190705
46,kagoshima,20190705,20190705
47,okinawa,20190705,20190705
48,otherwise,20190705,20190705
